+-------+--------+-----------+-----------+------------+-----------+-----------+---------+-----------+---------+-----------+-------------------+-------------+----------------------+--------+------------+----+
| uid   | active | announced | completed | downloaded | remaining | uploaded  | upspeed | downspeed | corrupt | timespent | useragent         | connectable | peer_id              | fid    | mtime      | ip |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429632 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  37921 | 1510415796 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |   1032192 |       0 |         0 |       0 |    427999 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  38136 | 1510414160 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427828 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  38533 | 1510413992 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |    245760 |       0 |         0 |       0 |    429523 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  39290 | 1510415683 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427233 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  39413 | 1510413392 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427028 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  39481 | 1510413191 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427332 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  39837 | 1510413477 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427157 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  40457 | 1510413316 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428180 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  41910 | 1510414342 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427093 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  42718 | 1510413250 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427121 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  42980 | 1510413270 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |  15601201 |       0 |         0 |       0 |    427771 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  43902 | 1510413931 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427282 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  44452 | 1510413442 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427723 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  46053 | 1510413869 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427085 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  47054 | 1510413244 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427245 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  47083 | 1510413409 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427801 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  49465 | 1510413963 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427377 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  51169 | 1510413536 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427057 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  52301 | 1510413221 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429643 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  53078 | 1510415806 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427404 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  53281 | 1510413567 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429487 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  54219 | 1510415648 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428251 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  55731 | 1510414415 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427985 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  56534 | 1510414146 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428255 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  56777 | 1510414418 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427085 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  57533 | 1510413246 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427083 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  58706 | 1510413243 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429635 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  61223 | 1510415794 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427409 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  61289 | 1510413567 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427316 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  61316 | 1510413479 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427175 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  61349 | 1510413339 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427592 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  62132 | 1510413750 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427261 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  62652 | 1510413421 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427073 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  64385 | 1510413233 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427398 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  64407 | 1510413560 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427232 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  65486 | 1510413377 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |  11267867 |       0 |         0 |       0 |    427310 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  66073 | 1510413458 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429663 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  67816 | 1510415823 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429636 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  68505 | 1510415796 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429536 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  69366 | 1510415685 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |     32768 |       0 |         0 |       0 |    429264 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  71737 | 1510415425 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427342 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  73236 | 1510413502 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427323 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  73963 | 1510413483 |    |
